Name,Address,City,State,Zip,Discount,Discount_Detail,Link,Latitude,Longitude,Precision,Category1,Category2,Category3,Category4,
Beau Legs Fish N Chips,8765 Tallon Lane E.,Lacey,WA,98516,10% Off Discount,10% OFF,http://seattle.entertainment.com/discount/Beau_Legs_Fish_N_Chips/coupon/05005937050RED01381056EPC00497999PRD00000056.html,47.059474,-122.754003,address,Dining,American,Seafood,Casual Dining,
Skipper's Seafood & Chowder,3812 Pacific Ave. SE,Lacey,WA,98503,2-for-1 Discount,ONE CUP OF OUR AWARD WINNING CHOWDER,http://seattle.entertainment.com/discount/Skippers_Seafood__Chowder/coupon/00313081003RED01126260EPC00496999PRD00000001.html,47.040232,-122.837659,address,Dining,American,Seafood,Casual Dining,
China Harbor,2040 Westlake Ave. N.,Seattle,WA,98109,2-for-1 Lunch or Dinner,UP TO $13.00 VALUE,http://seattle.entertainment.com/discount/China_Harbor/coupon/00312793003RED01104847EPC00499999PRD00000001.html,47.637263,-122.340329,address,Dining,Asian,,,
Asian Breeze,366 Roy Street,Seattle,WA,98109,2-for-1 Lunch or Dinner,$12.00 VALUE,http://seattle.entertainment.com/discount/Asian_Breeze/coupon/00314990003RED01271296EPC00499999PRD00000001.html,47.625578,-122.349719,address,Dining,Asian,,,
Jup Jup Jup Thai Restaurant,209 Broadway E.,Seattle,WA,98102,2-for-1 Lunch or Dinner,UP TO $13.00 VALUE,http://seattle.entertainment.com/discount/Jup_Jup_Jup_Thai_Restaurant/coupon/00316269003RED01339989EPC00496999PRD00000001.html,47.620101,-122.321034,address,Dining,Asian,,,
China First,4237 University Way NE,Seattle,WA,98105,2-for-1 Discount,UP TO $11.00 VALUE,http://seattle.entertainment.com/discount/China_First/coupon/00312810003RED01104871EPC00496999PRD00000001.html,47.658907,-122.313369,address,Dining,Asian,,,
Mikado Teppanyaki Steak Seafood & Sushi Bar,1306 S. King St.,Seattle,WA,98144,2-for-1 Lunch,UP TO $7.00 VALUE,http://seattle.entertainment.com/discount/Mikado_Teppanyaki_Steak_Seafood__Sushi_Bar/coupon/00317072003RED01373864EPC00497999PRD00000001.html,47.59854,-122.315207,address,Dining,Asian,,,
Maui Wowi Hawaiian,4518 University Way,Seattle,WA,98105,50% Off Beverage,$5.00 VALUE,http://seattle.entertainment.com/discount/Maui_Wowi_Hawaiian/coupon/00317570003RED01381493EPC00497999PRD00000001.html,47.661752,-122.312902,address,Dining,Asian,,,
Hot Iron Mongolian Grill,4523 University Way NE,Seattle,WA,91805,Special Value,50% OFF,http://seattle.entertainment.com/discount/Hot_Iron_Mongolian_Grill/coupon/00317256003RED01282097EPC00497999PRD00000001.html,47.661813,-122.3133,address,Dining,Asian,,,
Krittikas Noodles & Thai Cuisine,6411 Latona Ave. NE,Seattle,WA,98115,2-for-1 Dinner,$9.00 VALUE,http://seattle.entertainment.com/discount/Krittikas_Noodles__Thai_Cuisine/coupon/00317531003RED01380927EPC00497999PRD00000001.html,47.675278,-122.325605,address,Dining,Asian,,,
Krittikas Noodles & Thurst Lounge,814 NE 65th,Seattle,WA,98115,2-for-1 Lunch or Dinner,$8.00 VALUE,http://seattle.entertainment.com/discount/Krittikas_Noodles__Thurst_Lounge/coupon/00317526003RED01380924EPC00497999PRD00000001.html,47.675921,-122.319252,address,Dining,Asian,,,
Thai Siam Restaurant,8305 - 15th Ave. N.W.,Seattle,WA,98117,2-for-1 Lunch or Dinner,UP TO $7.00 VALUE,http://seattle.entertainment.com/discount/Thai_Siam_Restaurant/coupon/00300096003RED00002118EPC00496999PRD00000001.html,47.688868,-122.376882,address,Dining,Asian,,,
Seven Seas,8914 Lake City Way N.E.,Seattle,WA,98115,2-for-1 Discount,UP TO $9.00 VALUE,http://seattle.entertainment.com/discount/Seven_Seas/coupon/00300330003RED00002081EPC00496999PRD00000001.html,47.693202,-122.305286,address,Dining,Asian,,,
Mandarin Gate,10000 Aurora Ave. North,Seattle,WA,98133,2-for-1 Dinner,UP TO $12.00 VALUE,http://seattle.entertainment.com/discount/Mandarin_Gate/coupon/00310520003RED00000966EPC00499999PRD00000001.html,47.701791,-122.344464,address,Dining,Asian,,,
Oishii Teriyaki & Sushi,606 N.105th St,Seattle,WA,98103,2-for-1 Entree,$9.00 VALUE,http://seattle.entertainment.com/discount/Oishii_Teriyaki__Sushi/coupon/00317664003RED01387621EPC00497999PRD00000001.html,47.705182,-122.350901,address,Dining,Asian,,,
Rickshaw Restaurant,322 N. 105th,Seattle,WA,98133,2-for-1 Entree,UP TO $10.00 VALUE,http://seattle.entertainment.com/discount/Rickshaw_Restaurant/coupon/00315241003RED01276186EPC00497999PRD00000001.html,47.7053,-122.355146,address,Dining,Asian,,,
Yummy Teriyaki,4746 California Ave SW,Seattle,WA,98116,50% Off Food,UP TO $7.00 VALUE,http://seattle.entertainment.com/discount/Yummy_Teriyaki/coupon/00315188003RED01275067EPC00496999PRD00000001.html,47.560254,-122.386628,address,Dining,Asian,,,
Indo Cafe,543 N.E. Northgate Way,Seattle,WA,98125,2-for-1 Dinner,UP TO $9.00 VALUE,http://seattle.entertainment.com/discount/Indo_Cafe/coupon/00316343003RED01298519EPC00496999PRD00000001.html,47.708541,-122.32211,address,Dining,Asian,,,
Daimonji Japanese Restaurant,5963 Corson Ave South,Seattle,WA,98108,10% Off Discount,10% OFF,http://seattle.entertainment.com/discount/Daimonji_Japanese_Restaurant/coupon/00316889003RED01372610EPC00497999PRD00000056.html,47.54845,-122.321222,address,Dining,Asian,,,
Atrium Bistro,11740 15th Ave NE,Seattle,WA,98125,10% Off Discount,10% OFF,http://seattle.entertainment.com/discount/Atrium_Bistro/coupon/00317474003RED01379640EPC00497999PRD00000056.html,47.715001,-122.312407,address,Dining,Asian,,,
