ResourceImportedEventcV,targetCulture,resourceIdentity,sourceRevision,importTimestamp,tenantName,subtenantName,projectName,iD,terminate,exportTimestamp,ResourceExportedEventcV,ExportedSourceRevision,TotalMinutesTaken
WTQF0SIDkkKXGadiLAV6Gw.2.1,English,329293,1,10/3/2020 2:15:31 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3405.22570005833
y1/BCe02QE2Fm/FLFXhZOA.2.1,English,329293,1,10/3/2020 1:45:51 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3434.90005380333
G7sPPjbEgkeAfV3vvm+q0g.2.1,English,329293,1,10/3/2020 12:16:06 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2804.647971325
mBEu+q1/k0WemdwFRiYGfA.2.1,English,329293,1,10/3/2020 4:17:42 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2563.05572761
IjZCsoRTIUGwaT675KmpUQ.2.1,English,329293,1,10/3/2020 12:16:05 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3524.65910090167
PCPdn+3JMEelmfFPcrpPYg.2.1,English,329293,1,10/3/2020 5:26:05 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2494.66088428833
9gTRop0eTESQeWvQ7rqYGQ.2.1,English,329293,1,10/3/2020 5:15:58 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3224.78728690833
fQJe7ZwveUq0+PoHryHTZg.2.1,English,329293,1,10/3/2020 7:27:43 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2373.02349338833
e2SLF6RX8Umr0ltC3Jpllw.2.1,English,329293,1,10/3/2020 11:45:29 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2835.26585594
eYJipqdRU0ufRAlXLsYw2w.2.1,English,329293,1,10/3/2020 11:55:18 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2105.44202070667
gGopzTmFNEimsQYRSrQGJw.2.1,English,329293,1,10/3/2020 3:46:28 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2594.28720412333
TLOQ3NSCK06mmSQoXsAZVw.2.1,English,329293,1,10/3/2020 2:46:22 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3374.38655169
NEzODlMKYEaEt154ri7MhQ.2.1,English,329293,1,10/3/2020 6:14:35 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3166.16188378
N66vltYahEuLykiXuqOLxw.2.1,English,329293,1,10/3/2020 7:15:56 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3104.81663467333
sODfUfxg8U61I4pg8A0L6w.2.1,English,329293,1,10/3/2020 5:57:16 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2463.47756636
q1v7gacV6kCToqzGvSsjqQ.2.1,English,329293,1,10/3/2020 10:55:40 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2165.07911325667
vdppt/gvpE+urHyeF2jcsA.2.1,English,329293,1,10/3/2020 9:46:34 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2954.17430336
59WXjyaHKEWTAE2B4D0otg.2.1,English,329293,1,10/3/2020 9:15:26 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2985.31766237167
kyC8N7HfGUSi5/MBRoO3BQ.2.1,English,329293,1,10/3/2020 9:26:40 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2254.08417391333
Zx3ruwJVOU6GGVa0ZLs3Yg.2.1,English,329293,1,10/3/2020 1:16:20 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3464.417053405
47WA/oUVGEyXBvihUfk5Yg.2.1,English,329293,1,10/3/2020 3:16:02 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2624.71892897167
5M7JmfCYxkanEW7K6E/aqA.2.1,English,329293,1,10/3/2020 12:44:41 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3496.05823974
HdN5ZgvPykGP87p3AFwvtQ.2.1,English,329293,1,10/3/2020 5:46:43 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3194.03302801333
xDmX8TJlx0++aGFIPv6T5g.2.1,English,329293,1,10/3/2020 10:26:12 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2194.5511695
gZzEmaeYs0GGXqj5ZeXgMw.2.1,English,329293,1,10/3/2020 8:26:35 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2314.16481480833
13b167HfC0ejTCKJWZmZLQ.2.1,English,329293,1,10/3/2020 11:15:51 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2864.89873532167
YfaC1Y41kUGNVphF4QXb6w.2.1,English,329293,1,10/3/2020 3:15:09 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3345.59213951
J8F0KvBksEGjvzPAEB4/6w.2.1,English,329293,1,10/3/2020 11:25:48 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,2134.94085749
